,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender
146,FMC CARSWELL,981,Not Suspended,2024-02-03 19:28:58 PST,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female
147,MCC CHICAGO,519,Not Suspended,2024-02-03 19:29:14 PST,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female
148,FCI COLEMAN LOW,"2,055",Suspended,2024-02-03 19:29:30 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
149,FCI COLEMAN MEDIUM,"1,569",Not Suspended,2024-02-03 19:29:45 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
150,USP COLEMAN II,"1,172",Not Suspended,2024-02-03 19:30:01 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
151,USP COLEMAN I,"1,412",Not Suspended,2024-02-03 19:30:17 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
152,FCI CUMBERLAND,"1,045",Not Suspended,2024-02-03 19:30:33 PST,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male
153,FCI DANBURY,"1,028",Not Suspended,2024-02-03 19:30:49 PST,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female
154,FMC DEVENS,919,Not Suspended,2024-02-03 19:31:05 PST,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male
155,FCI DUBLIN,691,Not Suspended,2024-02-03 19:31:20 PST,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female
156,FPC DULUTH,456,Not Suspended,2024-02-03 19:31:36 PST,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male
157,FCI EDGEFIELD,"2,072",Not Suspended,2024-02-03 19:31:52 PST,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male
158,FCI EL RENO,"1,214",Not Suspended,2024-02-03 19:32:08 PST,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male
159,FCI ELKTON,"1,891",Not Suspended,2024-02-03 19:32:24 PST,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male
160,FCI ENGLEWOOD,894,Not Suspended,2024-02-03 19:32:40 PST,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male
161,FCI ESTILL,66,Not Suspended,2024-02-03 19:32:56 PST,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male
162,FCI FAIRTON,795,Not Suspended,2024-02-03 19:33:11 PST,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male
163,FCI FLORENCE,"1,248",Not Suspended,2024-02-03 19:33:27 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
164,USP FLORENCE ADMAX,328,Not Suspended,2024-02-03 19:33:43 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
165,USP FLORENCE - HIGH,911,Suspended,2024-02-03 19:33:59 PST,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
166,FCI FORREST CITY MEDIUM,"1,652",Not Suspended,2024-02-03 19:34:14 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
167,FCI FORREST CITY LOW,"1,801",Not Suspended,2024-02-03 19:34:30 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
168,FCI FORT DIX,"3,862",Not Suspended,2024-02-03 19:34:46 PST,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male
169,FMC FORT WORTH,"1,453",Not Suspended,2024-02-03 19:35:02 PST,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male
170,FCI GILMER,"1,636",Not Suspended,2024-02-03 19:35:18 PST,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male
171,FCI GREENVILLE,"1,299",Suspended,2024-02-03 19:35:33 PST,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female
172,MDC GUAYNABO,"1,151",Suspended,2024-02-03 19:35:49 PST,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female
173,FCI HAZELTON,"1,973",Not Suspended,2024-02-03 19:36:05 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female
174,USP HAZELTON,"1,427",Not Suspended,2024-02-03 19:36:20 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male
175,FCI HERLONG,"1,473",Not Suspended,2024-02-03 19:36:36 PST,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male
176,FDC HONOLULU,247,Not Suspended,2024-02-03 19:36:52 PST,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female
177,FDC HOUSTON,672,Not Suspended,2024-02-03 19:37:08 PST,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female
178,FCI JESUP,"1,655",Not Suspended,2024-02-03 19:37:24 PST,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male
179,FCI LA TUNA,700,Not Suspended,2024-02-03 19:37:41 PST,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male
180,USP LEAVENWORTH,"1,979",Not Suspended,2024-02-03 19:37:57 PST,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male
181,USP LEE,"1,451",Not Suspended,2024-02-03 19:38:13 PST,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male
182,USP LEWISBURG,965,Not Suspended,2024-02-03 19:38:28 PST,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male
183,FMC LEXINGTON,"1,256",Not Suspended,2024-02-03 19:38:45 PST,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female
184,FCI LOMPOC,932,Not Suspended,2024-02-03 19:39:00 PST,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
185,USP LOMPOC,"2,315",Not Suspended,2024-02-03 19:39:16 PST,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
186,FCI LORETTO,805,Not Suspended,2024-02-03 19:39:32 PST,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male
187,MDC LOS ANGELES,596,Not Suspended,2024-02-03 19:39:48 PST,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
188,FCI MANCHESTER,"1,128",Not Suspended,2024-02-03 19:40:03 PST,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
189,FCI MARIANNA,"1,223",Not Suspended,2024-02-03 19:40:19 PST,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
190,USP MARION,"1,327",Not Suspended,2024-02-03 19:40:35 PST,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
191,USP MCCREARY,"1,572",Not Suspended,2024-02-03 19:40:51 PST,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
192,FCI MCDOWELL,"1,551",Not Suspended,2024-02-03 19:41:08 PST,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
193,FCI MCKEAN,"1,156",Suspended,2024-02-03 19:41:24 PST,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
194,FCI MEMPHIS,"1,060",Not Suspended,2024-02-03 19:41:40 PST,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
195,FCI MENDOTA,"1,039",Suspended,2024-02-03 19:41:56 PST,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
196,FCI MIAMI,966,Not Suspended,2024-02-03 19:42:12 PST,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
197,FDC MIAMI,948,Not Suspended,2024-02-03 19:42:27 PST,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
198,FCI MILAN,"1,549",Not Suspended,2024-02-03 19:42:43 PST,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
199,FPC MONTGOMERY,626,Not Suspended,2024-02-03 19:42:59 PST,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
200,FCI MORGANTOWN,409,Not Suspended,2024-02-03 19:43:16 PST,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
201,MCC NEW YORK,0,Suspended,2024-02-03 19:43:34 PST,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
202,FCI OAKDALE II,"1,146",Not Suspended,2024-02-03 19:43:50 PST,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
203,FCI OAKDALE I,829,Not Suspended,2024-02-03 19:44:06 PST,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
204,FTC OKLAHOMA CITY,"1,157",Not Suspended,2024-02-03 19:44:22 PST,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
205,FCI OTISVILLE,"1,054",Not Suspended,2024-02-03 19:44:39 PST,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
206,FCI OXFORD,"1,033",Not Suspended,2024-02-03 19:44:54 PST,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
207,FCI PEKIN,"1,278",Not Suspended,2024-02-03 19:45:11 PST,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
208,FPC PENSACOLA,469,Not Suspended,2024-02-03 19:45:26 PST,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
209,FCI PETERSBURG MEDIUM,"1,690",Not Suspended,2024-02-03 19:45:43 PST,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
210,FCI PETERSBURG LOW,677,Not Suspended,2024-02-03 19:45:58 PST,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
211,FDC PHILADELPHIA,877,Not Suspended,2024-02-03 19:46:15 PST,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
212,FCI PHOENIX,"1,162",Not Suspended,2024-02-03 19:46:30 PST,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
213,FCI POLLOCK,"1,569",Not Suspended,2024-02-03 19:46:47 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
214,USP POLLOCK,"1,107",Not Suspended,2024-02-03 19:47:03 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
215,FCI RAY BROOK,693,Not Suspended,2024-02-03 19:47:19 PST,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
216,FMC ROCHESTER,575,Not Suspended,2024-02-03 19:47:35 PST,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
217,FCI SAFFORD,642,Not Suspended,2024-02-03 19:47:51 PST,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
218,MCC SAN DIEGO,635,Not Suspended,2024-02-03 19:48:07 PST,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
219,FCI SANDSTONE,"1,118",Not Suspended,2024-02-03 19:48:24 PST,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
220,FCI SCHUYLKILL,"1,030",Not Suspended,2024-02-03 19:48:40 PST,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male
221,FCI SEAGOVILLE,"1,731",Not Suspended,2024-02-03 19:48:56 PST,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male
222,FDC SEATAC,776,Not Suspended,2024-02-03 19:49:12 PST,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female
223,FCI SHERIDAN,"1,618",Not Suspended,2024-02-03 19:49:29 PST,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male
224,MCFP SPRINGFIELD,941,Not Suspended,2024-02-03 19:49:45 PST,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male
225,FCI TALLADEGA,"1,140",Not Suspended,2024-02-03 19:50:02 PST,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male
226,FCI TALLAHASSEE,"1,003",Not Suspended,2024-02-03 19:50:18 PST,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female
227,FCI TERMINAL ISLAND,953,Not Suspended,2024-02-03 19:50:35 PST,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male
228,FCI TERRE HAUTE,"1,469",Not Suspended,2024-02-03 19:50:51 PST,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male
229,USP TERRE HAUTE,"1,115",Not Suspended,2024-02-03 19:51:08 PST,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male
230,FCI TEXARKANA,"1,230",Not Suspended,2024-02-03 19:51:23 PST,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male
231,FCI THOMSON,"1,807",Not Suspended,2024-02-03 19:51:40 PST,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male
232,FCI THREE RIVERS,"1,298",Suspended,2024-02-03 19:51:56 PST,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male
233,FCI TUCSON,322,Suspended,2024-02-03 19:52:12 PST,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female
234,USP TUCSON,"1,334",Suspended,2024-02-03 19:52:28 PST,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male
235,FCI VICTORVILLE MEDIUM I,"1,598",Not Suspended,2024-02-03 19:52:46 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female
236,FCI VICTORVILLE MEDIUM II,"1,372",Not Suspended,2024-02-03 19:53:02 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male
237,USP VICTORVILLE,"1,197",Not Suspended,2024-02-03 19:53:19 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male
238,FCI WASECA,768,Not Suspended,2024-02-03 19:53:35 PST,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female
239,FCI WILLIAMSBURG,"1,256",Not Suspended,2024-02-03 19:53:52 PST,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male
240,FPC YANKTON,430,Not Suspended,2024-02-03 19:54:08 PST,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male
241,FCI YAZOO CITY MEDIUM,"1,328",Not Suspended,2024-02-03 19:54:24 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
242,FCI YAZOO CITY LOW,"1,386",Not Suspended,2024-02-03 19:54:41 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
243,USP YAZOO CITY,"1,485",Not Suspended,2024-02-03 19:54:57 PST,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
244,FPC ALDERSON,708,Not Suspended,2024-02-20 10:12:43 PST,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female
245,FCI ALICEVILLE,"1,561",Not Suspended,2024-02-20 10:13:00 PST,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female
246,FCI ALLENWOOD LOW,979,Not Suspended,2024-02-20 10:13:17 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male
247,FCI ALLENWOOD MEDIUM,"1,261",Not Suspended,2024-02-20 10:13:33 PST,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
248,USP ALLENWOOD,277,Not Suspended,2024-02-20 10:13:49 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
249,FCI ASHLAND,"1,292",Not Suspended,2024-02-20 10:14:04 PST,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male
250,USP ATLANTA,"1,726",Not Suspended,2024-02-20 10:14:20 PST,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male
251,USP ATWATER,"1,163",Not Suspended,2024-02-20 10:14:36 PST,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male
252,FCI BASTROP,"1,051",Not Suspended,2024-02-20 10:14:51 PST,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male
253,FCI BEAUMONT LOW,"1,973",Not Suspended,2024-02-20 10:15:07 PST,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
254,FCI BEAUMONT MEDIUM,"1,618",Not Suspended,2024-02-20 10:15:22 PST,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
255,USP BEAUMONT,"1,131",Not Suspended,2024-02-20 10:15:38 PST,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
256,FCI BECKLEY,"1,632",Not Suspended,2024-02-20 10:15:54 PST,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male
257,FCI BENNETTSVILLE,"1,656",Not Suspended,2024-02-20 10:16:10 PST,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male
258,FCI BERLIN,793,Not Suspended,2024-02-20 10:16:26 PST,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male
259,USP BIG SANDY,"1,380",Suspended,2024-02-20 10:16:41 PST,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male
260,FCI BIG SPRING,"1,018",Not Suspended,2024-02-20 10:16:57 PST,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male
261,MDC BROOKLYN,"1,417",Not Suspended,2024-02-20 10:17:13 PST,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female
262,FPC BRYAN,688,Not Suspended,2024-02-20 10:17:28 PST,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female
263,FCI BUTNER MEDIUM II,"1,389",Not Suspended,2024-02-20 10:17:44 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
264,FCI BUTNER LOW,952,Not Suspended,2024-02-20 10:18:00 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
265,FCI BUTNER MEDIUM I,874,Not Suspended,2024-02-20 10:18:15 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
266,FMC BUTNER,834,Not Suspended,2024-02-20 10:18:31 PST,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male
267,USP CANAAN,"1,264",Suspended,2024-02-20 10:18:47 PST,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male
268,FMC CARSWELL,967,Not Suspended,2024-02-20 10:19:03 PST,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female
269,MCC CHICAGO,518,Not Suspended,2024-02-20 10:19:18 PST,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female
270,FCI COLEMAN LOW,"2,046",Suspended,2024-02-20 10:19:34 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
271,FCI COLEMAN MEDIUM,"1,566",Suspended,2024-02-20 10:19:50 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
272,USP COLEMAN II,"1,150",Not Suspended,2024-02-20 10:20:05 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
273,USP COLEMAN I,"1,413",Not Suspended,2024-02-20 10:20:21 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
274,FCI CUMBERLAND,"1,056",Not Suspended,2024-02-20 10:20:38 PST,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male
275,FCI DANBURY,"1,052",Not Suspended,2024-02-20 10:20:53 PST,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female
276,FMC DEVENS,907,Not Suspended,2024-02-20 10:21:09 PST,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male
277,FCI DUBLIN,667,Not Suspended,2024-02-20 10:21:24 PST,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female
278,FPC DULUTH,444,Not Suspended,2024-02-20 10:21:41 PST,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male
279,FCI EDGEFIELD,"2,064",Not Suspended,2024-02-20 10:21:56 PST,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male
280,FCI EL RENO,"1,209",Not Suspended,2024-02-20 10:22:12 PST,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male
281,FCI ELKTON,"1,867",Not Suspended,2024-02-20 10:22:27 PST,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male
282,FCI ENGLEWOOD,891,Not Suspended,2024-02-20 10:22:43 PST,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male
283,FCI ESTILL,64,Not Suspended,2024-02-20 10:22:59 PST,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male
284,FCI FAIRTON,788,Not Suspended,2024-02-20 10:23:15 PST,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male
285,FCI FLORENCE,"1,218",Not Suspended,2024-02-20 10:23:30 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
286,USP FLORENCE ADMAX,322,Not Suspended,2024-02-20 10:23:46 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
287,USP FLORENCE - HIGH,892,Suspended,2024-02-20 10:24:02 PST,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
288,FCI FORREST CITY MEDIUM,"1,641",Not Suspended,2024-02-20 10:24:18 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
289,FCI FORREST CITY LOW,"1,770",Not Suspended,2024-02-20 10:24:33 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
